A01,S01,S02
0.26,208.0,213.0
0.0,208.0,213.0
0.0,207.0,213.0
0.26,208.0,214.0
0.26,208.0,213.0
0.0,208.0,214.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,208.0,213.0
0.0,208.0,214.0
0.53,208.0,213.0
0.26,208.0,214.0
0.0,208.0,213.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,208.0,214.0
0.0,208.0,213.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.53,208.0,213.0
0.26,207.0,213.0
0.0,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,207.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,208.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,207.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.0,207.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.26,207.0,213.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,208.0,213.0
0.53,208.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,208.0,213.0
0.0,207.0,213.0
0.26,208.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.0,208.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.26,207.0,213.0
0.26,207.0,213.0
0.53,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
0.0,207.0,213.0
